city,cluster,pv_kwp,pen,gen_kwh_y,eloss_delta_kwh,capex_dg,npc_s2,npc_s3,delta_npc_s3
sano,82,234.53440304229184,0.9162749251671976,267087.77818456193,580.1343807315088,58633600.76057296,58786703.1296812,-16927230.52960089,79048426.06505626
sano,83,209.81575908197158,0.8421512096163181,238938.18644254922,407.6119274308612,52453939.7704929,74152479.49705261,6482743.314039022,68219262.88174714
sano,84,208.6750004736648,0.887967220393341,237639.09053940946,512.828692986971,52168750.1184162,46164614.20069084,-21199286.940306574,67827571.54068628
sano,85,139.9668365448788,0.8839883704869487,159394.23345730797,122.66346398489804,34991709.136219695,39613612.72204959,-5442214.935875535,45055827.65792512
sano,86,229.1744939927264,0.811225337355886,260983.91375891687,2262.864734452236,57293623.498181604,115904259.92702197,40940587.6207847,91397356.77825856
sano,87,392.483485020036,0.8891333052752984,446960.1927408171,720.7372671094336,98120871.25500901,34194430.21263023,-92365140.41615808,128653040.27525884
sano,88,96.9536852338083,0.8478604221843719,110410.85674426089,457.0588517325823,24238421.308452073,62121016.86990073,30696257.195323177,31424759.67457755
sano,90,65.25958181829412,0.8824323684049373,74317.61177467335,18.24236186144364,16314895.45457353,8911556.434594294,-12073229.734446704,20984786.169040997
sano,91,769.1993942168574,0.9697497045041498,875964.2701341573,10538.290670097078,192299848.55421436,192343377.5979181,-60964880.286301434,279279522.7706219
sano,92,291.2624022048537,0.9070176911019654,331689.6236308874,607.92911966666,72815600.55121343,64301091.19505127,-29661122.195539623,94458541.47069275
sano,93,601.3412770393279,0.8889295171336975,684807.4462923866,2562.1440530991094,150335319.25983196,156488559.02302843,-38261405.922721386,209606071.4010081
sano,94,254.5055060087827,0.8294314341646856,289830.8702428017,584.7509374155297,63626376.50219568,35369365.62900747,-46765891.63610393,82788479.92116082
sano,95,107.96025556557865,0.7232420666166588,122945.13903808096,126.1005623393969,26990063.891394664,42169508.8953433,7398519.37435469,34969547.99070403
sano,96,112.0629906126097,0.89224127677258,127617.33370963992,146.86160066517664,28015747.653152425,37517255.15319737,1415661.0600507706,36101594.09314659
