node,lat,lon,x_m,y_m,p_kw,cluster
2912,34.02588250000001,131.86688650000002,764712.0395787872,3768733.4542701775,0.0,
2911,34.026021699999994,131.8669311,764715.7262657128,3768749.0112696006,0.0,
2916,34.015872,131.8592059,764033.6651370022,3767603.132736667,0.0,
2915,34.01599759999999,131.8589756,764012.0021540513,3767616.471222701,3.060854834879286,44.0
2926,34.0321207,131.8646171,764483.0523285044,3769419.590866296,34.60608778615612,40.0
2927,34.0323202,131.8646055,764481.3612294751,3769441.691551746,0.0,
879,34.0128411,131.8676848,764826.3175864096,3767288.8290713,29.23388233210484,38.0
2929,34.0176256,131.8768127,765654.611447043,3767843.243586204,0.0,
882,34.0173858,131.8808051,766024.149036091,3767827.0174981216,0.0,
2931,34.020432099999994,131.8810609,766038.2632446392,3768165.6124202814,0.0,
884,34.015700499999994,131.8729989,765308.3166022887,3767619.792988234,5.761667001834292,27.0
2930,34.0204104,131.8808728,766020.9562807174,3768162.7160037705,0.0,
888,34.0138097,131.8694997,764990.9609247611,3767400.9758876446,45.07974487352061,48.0
892,34.017227899999995,131.8667145,764723.0517304724,3767772.948280939,45.7831490497832,23.0
899,34.0132097,131.8721753,765239.991699272,3767341.3509220816,138.34739107802451,48.0
901,34.0171444,131.8798545,765937.0929129865,3767797.767064491,0.0,
908,34.015928499999994,131.8815382,766096.4199098513,3767667.264194516,0.0,
909,34.01994019999999,131.876304,765600.4040743234,3768098.683562739,0.0,
910,34.01563819999999,131.8853025,766445.0538541556,3767644.858746925,0.0,
911,34.0149847,131.8725562,765269.6512757756,3767539.240688059,14.690352509046988,27.0
912,34.017143,131.8831326,766239.9061578447,3767806.1385932495,0.0,
920,34.01341359999999,131.8698157,765021.3840811541,3767357.854775759,77.45247397302091,48.0
922,34.01734499999999,131.8727071,765276.240518953,3767801.4620512994,12.842394625400177,27.0
927,34.017873400000006,131.8695821,764985.9319116918,3767851.9785114303,0.0,
929,34.01510780000001,131.8796465,765924.2368015796,3767571.30407968,0.0,
935,34.0178146,131.8809775,766038.7349136635,3767875.033128218,0.0,
940,34.0157665,131.8734927,765353.725597445,3767628.395161458,0.0,
943,34.01714749999999,131.8820303,766138.0689869111,3767803.769449757,0.0,
