電柱番号,設置付近住所,町会名,管理番号,緯度,経度
南赤見357,赤見町997-1,赤見町(市場),092-169,36.34317219,139.5352344
蓮沼221,町小中町1734-1,赤見町（市場）,092-170,36.33984123,139.5514454
蓮沼232,石塚町947-2,赤見町(大門),093-001,36.34774173,139.5525832
蓮沼236,石塚町957-5,赤見町(大門),093-002,36.34753344,139.5540803
蓮沼244,石塚町974-3,赤見町(大門),093-003,36.34785532,139.5530215
蓮沼022,石塚町980-3,赤見町(大門),093-004,36.34726285,139.551648
大門365,赤見町1282-27,赤見町(大門),093-005,36.35611388,139.5407886
蓮沼529,赤見町1609-4,赤見町(大門),093-006,36.34638762,139.5503492
蓮沼519,赤見町2009,赤見町(大門),093-007,36.34940918,139.5444588
蓮沼517,赤見町2009,赤見町(大門),093-008,36.34913337,139.5451595
蓮沼514,赤見町2009,赤見町(大門),093-009,36.34878429,139.546352
蓮沼371,赤見町2041,赤見町(大門),093-010,36.34943224,139.5448649
南赤見463,赤見町2041,赤見町(大門),093-011,36.34964887,139.5441796
蓮沼040,赤見町2042,赤見町(大門),093-012,36.35078626,139.5466085
蓮沼042,赤見町2042,赤見町(大門),093-013,36.35075982,139.545917
蓮沼038,赤見町2068,赤見町(大門),093-014,36.35083158,139.5476182
蓮沼037,赤見町2068-1,赤見町(大門),093-015,36.35084825,139.5481059
蓮沼328,赤見町2069-5,赤見町(大門),093-016,36.35011912,139.5481059
蓮沼311,赤見町2088,赤見町(大門),093-017,36.34903345,139.5479505
蓮沼361,赤見町2091,赤見町(大門),093-018,36.34848902,139.5490596
蓮沼308,赤見町2096-8,赤見町(大門),093-019,36.34927399,139.5495381
蓮沼306,赤見町2101,赤見町(大門),093-020,36.34868853,139.5500334
蓮沼323,赤見町2113,赤見町(大門),093-021,36.35033132,139.5495608
蓮沼034,赤見町2113,赤見町(大門),093-022,36.35101823,139.549698
蓮沼309,赤見町2119,赤見町(大門),093-023,36.34910396,139.5491381
蓮沼310,赤見町2122,赤見町(大門),093-024,36.34906514,139.5485809
南赤見461,赤見町2188,赤見町(大門),093-025,36.34987293,139.5434747
大門041,赤見町2195,赤見町(大門),093-026,36.35315956,139.5450295
大門042,赤見町2195,赤見町(大門),093-027,36.35355895,139.5450836
大門220,赤見町2948,赤見町(大門),093-028,36.35697127,139.5431259
大門046,赤見町2691,赤見町(大門),093-029,36.35444099,139.5434712
大門045,赤見町2691,赤見町(大門),093-030,36.35421275,139.5438637
大門815,赤見町2816-2,赤見町(大門),093-031,36.35842119,139.5472933
大門820,赤見町2862,赤見町(大門),093-032,36.35842278,139.5445069
大門819,赤見町2864-2,赤見町(大門),093-033,36.35880304,139.5445146
大門055,赤見町2865,赤見町(大門),093-034,36.35713952,139.5418971
大門823,赤見町2869,赤見町(大門),093-035,36.35878381,139.5431981
大門826,赤見町2872-2,赤見町(大門),093-036,36.35804225,139.5431998
大門214,赤見町2878-2,赤見町(大門),093-037,36.35721153,139.542451
大門234,赤見町2907-1,赤見町(大門),093-038,36.35714126,139.5438734
大門236,赤見町2907-2,赤見町(大門),093-039,36.3571396,139.5444885
大門237,赤見町2910-2,赤見町(大門),093-040,36.35687242,139.5445069
大門059,赤見町2923,赤見町(大門),093-041,36.35867131,139.5418938
大門057,赤見町2931,赤見町(大門),093-042,36.35793447,139.5418713
大門043,赤見町2195,赤見町(大門),093-043,36.35386867,139.5446158
大門215,赤見町2950-2,赤見町(大門),093-044,36.3565435,139.541966
大門216,赤見町2950-5,赤見町(大門),093-045,36.35648464,139.5424408
大門240,赤見町2953,赤見町(大門),093-046,36.35607162,139.5423046
大門213,赤見町2956,赤見町(大門),093-047,36.35601053,139.5431285
大門212,赤見町2957,赤見町(大門),093-048,36.3555731,139.5431109
大門047,赤見町2989,赤見町(大門),093-049,36.35468235,139.543026
大門076,赤見町2995-1,赤見町(大門),093-050,36.35505235,139.5422214
南赤見054,赤見町3008,赤見町(大門),093-051,36.3534017,139.5410111
南赤見056,赤見町3009,赤見町(大門),093-052,36.35399689,139.5411937
大門124,赤見町3013,赤見町(大門),093-053,36.3543591,139.542816
南赤見421,赤見町3030,赤見町(大門),093-054,36.3529776,139.5420614
南赤見418,赤見町3031,赤見町(大門),093-055,36.35216547,139.5414324
南赤見423,赤見町3034-2,赤見町(大門),093-056,36.35307535,139.5414522
南赤見420,赤見町3035,赤見町(大門),093-057,36.35317536,139.5416611
南赤見419,赤見町3040-3,赤見町(大門),093-058,36.35324451,139.5413412
南赤見051,赤見町3047,赤見町(大門),093-059,36.35216958,139.5406091
南赤見416,赤見町3052-6,赤見町(大門),093-060,36.35160352,139.5410973
南赤見071,赤見町3055-1,赤見町(大門),093-061,36.35135519,139.5403124
南赤見415,赤見町3055-8,赤見町(大門),093-062,36.35120055,139.5408713
南赤見516,赤見町3158,赤見町(大門),093-063,36.35113435,139.5389067
南赤見729,赤見町3159,赤見町(大門),093-064,36.35256369,139.5377443
大門313,赤見町3194,赤見町(大門),093-065,36.3544115,139.5370318
大門316,赤見町3205,赤見町(大門),093-066,36.35391483,139.5373304
大門314,赤見町3206-2,赤見町(大門),093-067,36.35412732,139.5367355
大門312,赤見町3208,赤見町(大門),093-068,36.35476394,139.53745
大門311,赤見町3208-2,赤見町(大門),093-069,36.35479639,139.5377442
南赤見737,赤見町3214-1,赤見町(大門),093-070,36.35334856,139.5380567
南赤見736,赤見町3217,赤見町(大門),093-071,36.35337273,139.5383178
大門308,赤見町3221-1,赤見町(大門),093-072,36.35489756,139.5387841
南赤見513,赤見町3223,赤見町(大門),093-073,36.35366351,139.5393913
南赤見741,赤見町3223,赤見町(大門),093-074,36.35411903,139.5385953
南赤見731,赤見町3224-1,赤見町(大門),093-075,36.35259671,139.5382317
南赤見512,赤見町3229,赤見町(大門),093-076,36.35307747,139.539745
南赤見527,赤見町3229,赤見町(大門),093-077,36.35311746,139.5393674
南赤見506,赤見町3237,赤見町(大門),093-078,36.35367828,139.5409687
南赤見508,赤見町3240-4,赤見町(大門),093-079,36.35383076,139.5399691
南赤見509,赤見町3242-2,赤見町(大門),093-080,36.35394659,139.5395725
大門306,赤見町3244,赤見町(大門),093-081,36.35452404,139.5395402
大門304,赤見町3249,赤見町(大門),093-082,36.35508449,139.5401812
大門305,赤見町3264,赤見町(大門),093-083,36.35511481,139.5394588
大門356,赤見町3266-1,赤見町(大門),093-084,36.35608636,139.5399665
大門354,赤見町3271-2,赤見町(大門),093-085,36.35576549,139.5394102
大門368,赤見町3280,赤見町(大門),093-086,36.35618332,139.5412872
大門359,赤見町3281,赤見町(大門),093-087,36.35686955,139.5402187
大門358,赤見町3281-1,赤見町(大門),093-088,36.3566565,139.5401159
大門362,赤見町3282,赤見町(大門),093-089,36.35645883,139.5410233
大門361,赤見町3282-10,赤見町(大門),093-090,36.35655235,139.5406089
大門366,赤見町3282-26,赤見町(大門),093-091,36.35605967,139.5410286
大門364,赤見町3282-29,赤見町(大門),093-092,36.35621802,139.5403273
大門345,赤見町3325,赤見町(大門),093-093,36.35755611,139.5401734
大門345,赤見町3328,赤見町(大門),093-094,36.35746315,139.5405636
大門334,赤見町3330,赤見町(大門),093-095,36.35782029,139.5393023
大門599,赤見町3331-8,赤見町(大門),093-096,36.35853769,139.5389673
大門594,赤見町3332-15,赤見町(大門),093-097,36.35847044,139.5385591
大門338,赤見町3340,赤見町(大門),093-098,36.35792442,139.5385824
大門337,赤見町3340-1,赤見町(大門),093-099,36.35794637,139.5388599
大門371,赤見町3344-1,赤見町(大門),093-100,36.35757973,139.5384201
大門372,赤見町3349-8,赤見町(大門),093-101,36.35729722,139.5383964
大門349,赤見町3354,赤見町(大門),093-102,36.35729588,139.5376375
大門330,赤見町3355,赤見町(大門),093-103,36.356914,139.5382516
大門324,赤見町3357-2,赤見町(大門),093-104,36.35620465,139.5389591
大門321,赤見町3362-2,赤見町(大門),093-105,36.35603633,139.5379511
大門307,赤見町3369-4,赤見町(大門),093-106,36.3553367,139.5393876
大門322,赤見町3374,赤見町(大門),093-107,36.35545496,139.5378228
大門322,赤見町3375,赤見町(大門),093-108,36.35530051,139.5379425
蓮沼521,赤見町984,赤見町(大門),093-109,36.34750173,139.5503692
大門060,赤見町2922,赤見町（大門）,093-111,36.35909015,139.5419024
大門337,赤見町3331,赤見町（大門）,093-112,36.35810582,139.5390848
大門552A,赤見町3332,赤見町（大門）,093-113,36.3588954,139.5383813
大門339,赤見町3337,赤見町（大門）,093-114,36.35793331,139.5380586
大門373,赤見町3349,赤見町（大門）,093-115,36.35727528,139.5386366
大門350,赤見町3358,赤見町（大門）,093-116,36.35665235,139.538065
南赤見715,赤見町3133-2,赤見町(町屋),094-001,36.35149511,139.536168
南赤見746A,赤見町3135-1,赤見町(町屋),094-002,36.35153292,139.5366605
南赤見753,赤見町3137,赤見町(町屋),094-003,36.35275445,139.5364569
南赤見719,赤見町3137-5,赤見町(町屋),094-004,36.35222119,139.536248
南赤見721,赤見町3138-2,赤見町(町屋),094-005,36.35192534,139.5370629
南赤見748A,赤見町3144,赤見町(町屋),094-006,36.35143155,139.5373216
南赤見519,赤見町3149-1,赤見町(町屋),094-007,36.35133042,139.5379015
南赤見727,赤見町3165,赤見町(町屋),094-008,36.35258614,139.5372401
南赤見754,赤見町3170,赤見町(町屋),094-009,36.3531216,139.5365552
市の沢243,赤見町3176-10,赤見町(町屋),094-010,36.35268139,139.5361816
市の沢202,赤見町3178-2,赤見町(町屋),094-011,36.35254189,139.5350664
市の沢281,赤見町3447-2,赤見町(町屋),094-012,36.35316515,139.5351869
市の沢211,赤見町3492,赤見町(町屋),094-013,36.3552563,139.5345878
市の沢208,赤見町3499,赤見町(町屋),094-014,36.35393429,139.5341779
市の沢207,赤見町3499-3,赤見町(町屋),094-015,36.35345928,139.5341245
市の沢236,赤見町3500,赤見町(町屋),094-016,36.35619147,139.5328696
市の沢234,赤見町3501,赤見町(町屋),094-017,36.35540045,139.532448
市の沢256,赤見町3501,赤見町(町屋),094-018,36.35538567,139.5327693
市の沢231,赤見町3502,赤見町(町屋),094-019,36.355507,139.5315269
市の沢260,赤見町3503-1,赤見町(町屋),094-020,36.35484794,139.5321483
市の沢257,赤見町3504-1,赤見町(町屋),094-021,36.35470076,139.5313231
市の沢228,赤見町3505,赤見町(町屋),094-022,36.35451332,139.5321572
市の沢227,赤見町3507,赤見町(町屋),094-023,36.35477326,139.5328766
市の沢210,赤見町3512-2,赤見町(町屋),094-024,36.35522521,139.5340115
市の沢205,赤見町3512-2,赤見町(町屋),094-025,36.35445109,139.5341854
市の沢245,赤見町3519-1,赤見町(町屋),094-026,36.35533821,139.5335367
市の沢252,赤見町3519-2,赤見町(町屋),094-027,36.35536463,139.5330394
市の沢206,赤見町3558,赤見町(町屋),094-028,36.35328348,139.5345703
市の沢285,赤見町3558,赤見町(町屋),094-029,36.35286913,139.5346995
市の沢204,赤見町3559,赤見町(町屋),094-030,36.35291852,139.5339807
市の沢203,赤見町3563,赤見町(町屋),094-031,36.35250417,139.5338571
市の沢223,赤見町3582,赤見町(町屋),094-032,36.35406312,139.5327554
市の沢219,赤見町3583,赤見町(町屋),094-033,36.35379176,139.5322948
市の沢254,赤見町3584,赤見町(町屋),094-034,36.35387588,139.5314498
市の沢253,赤見町3584,赤見町(町屋),094-035,36.35384417,139.5317792
市の沢242,赤見町3588,赤見町(町屋),094-036,36.3539189,139.5308918
市の沢239,赤見町3590-1,赤見町(町屋),094-037,36.35307734,139.5308046
市の沢241,赤見町3590-3,赤見町(町屋),094-038,36.35334761,139.5307599
市の沢264,赤見町3591,赤見町(町屋),094-039,36.35325344,139.5314073
市の沢225,赤見町3595,赤見町(町屋),094-040,36.35347983,139.5326542
市の沢224,赤見町3596,赤見町(町屋),094-041,36.35372228,139.5326947
市の沢212,赤見町3599-2,赤見町(町屋),094-042,36.35253662,139.5321395
市の沢249,赤見町3600,赤見町(町屋),094-043,36.35324429,139.5327083
市の沢273,赤見町3600-17,赤見町(町屋),094-044,36.35299851,139.5328169
市の沢272,赤見町3601-15,赤見町(町屋),094-045,36.3528132,139.5329197
市の沢215,赤見町3605,赤見町(町屋),094-047,36.35223583,139.532553
市の沢213,赤見町3608,赤見町(町屋),094-049,36.35293852,139.5320772
市の沢010,赤見町3618,赤見町(町屋),094-050,36.35230241,139.5310448
市の沢009,赤見町3618-1,赤見町(町屋),094-051,36.35227578,139.531311
市の沢013,赤見町3618-2,赤見町(町屋),094-052,36.35236068,139.5297847
市の沢107,赤見町3620-2,赤見町(町屋),094-053,36.35170531,139.5311832
市の沢516,赤見町3626,赤見町(町屋),094-054,36.35179692,139.5301649
市の沢512,赤見町3626,赤見町(町屋),094-055,36.35140026,139.5310149
市の沢109,赤見町3627,赤見町(町屋),094-056,36.35117198,139.5309499
市の沢511,赤見町3628-2,赤見町(町屋),094-057,36.35124362,139.531516
市の沢106,赤見町3637,赤見町(町屋),094-058,36.35152035,139.5319959
市の沢007,赤見町3638-1,赤見町(町屋),094-059,36.35218248,139.532127
市の沢105,赤見町3641,赤見町(町屋),094-060,36.35168943,139.5323894
市の沢005,赤見町3644-2,赤見町(町屋),094-061,36.35205945,139.5331255
市の沢152,赤見町3647-1,赤見町(町屋),094-062,36.3512468,139.5338907
市の沢003,赤見町3650-2,赤見町(町屋),094-063,36.35188121,139.5344667
市の沢062,赤見町3653-1,赤見町(町屋),094-064,36.35187592,139.5349845
市の沢001,赤見町3654-1,赤見町(町屋),094-065,36.35176866,139.5352717
市の沢101,赤見町3655,赤見町(町屋),094-066,36.35141928,139.5349628
市の沢102,赤見町3656,赤見町(町屋),094-067,36.35118044,139.5345632
市の沢153,赤見町3666-2,赤見町(町屋),094-068,36.35131507,139.533438
南赤見359,赤見町3684-2,赤見町(町屋),094-069,36.34946361,139.5316173
市の沢162,赤見町3691,赤見町(町屋),094-070,36.35015046,139.5299783
市の沢505,赤見町3699,赤見町(町屋),094-071,36.35088601,139.5332733
市の沢154,赤見町3706-3,赤見町(町屋),094-072,36.35139095,139.5330783
市の沢508,赤見町3710,赤見町(町屋),094-073,36.35102784,139.5322948
市の沢164,赤見町3720,赤見町(町屋),094-074,36.35021347,139.5309435
市の沢166,赤見町3729,赤見町(町屋),094-075,36.35076652,139.5310285
市の沢174,赤見町3765,赤見町(町屋),094-076,36.34557764,139.529071
市の沢027,赤見町3811,赤見町(町屋),094-077,36.34589478,139.5281078
市の沢454,赤見町3818,赤見町(町屋),094-078,36.346228,139.5273411
市の沢417,赤見町3819,赤見町(町屋),094-079,36.34626413,139.5277603
市の沢026,赤見町3820,赤見町(町屋),094-080,36.34625558,139.5282225
市の沢043,赤見町3820,赤見町(町屋),094-081,36.34650493,139.5283539
市の沢025,赤見町3820,赤見町(町屋),094-082,36.34671547,139.5284952
市の沢042,赤見町3824,赤見町(町屋),094-083,36.34697211,139.5286561
市の沢024,赤見町3839-2,赤見町(町屋),094-084,36.34726125,139.5288049
市の沢023,赤見町3850,赤見町(町屋),094-085,36.34764539,139.5288835
市の沢022,赤見町3862-1,赤見町(町屋),094-086,36.34807567,139.5289602
市の沢056,赤見町3865,赤見町(町屋),094-087,36.34897633,139.5292512
市の沢054,赤見町3876,赤見町(町屋),094-088,36.34968019,139.5291312
市の沢051,赤見町3912-3,赤見町(町屋),094-089,36.3506587,139.5289576
市の沢053,赤見町3912-3,赤見町(町屋),094-090,36.35005683,139.5290612
市の沢452,赤見町3915-1,赤見町(町屋),094-091,36.35266066,139.5286298
市の沢017,赤見町3915-1,赤見町(町屋),094-092,36.35236482,139.5286834
市の沢471,赤見町3915-1,赤見町(町屋),094-094,36.35272254,139.5280863
市の沢019,赤見町3915-1,赤見町(町屋),094-095,36.3516758,139.5287898
市の沢029,赤見町5819-2,赤見町(町屋),094-096,36.34515927,139.5277986
市の沢028,赤見町5819-2,赤見町(町屋),094-097,36.34556341,139.5278361
市の沢172,赤見町606,赤見町(町屋),094-098,36.34497821,139.5291071
南赤見714,赤見町770-1,赤見町(町屋),094-099,36.35113627,139.5358619
南赤見710,赤見町780,赤見町(町屋),094-100,36.35064352,139.5360292
市の沢268,赤見町9000,赤見町(町屋),094-101,36.35294766,139.5317709
市の沢004,赤見町9000,赤見町（町屋）,094-102,36.35199752,139.5336596
市の沢268,赤見町9000,赤見町（町屋）,094-103,36.3529107,139.5314798
弁天西149,赤見町1616,赤見町(駒場),095-001,36.35323887,139.5164832
弁天西045,赤見町1815-1,赤見町(駒場),095-002,36.35690038,139.5274598
弁天西041,赤見町1910,赤見町(駒場),095-003,36.35644177,139.5256836
市の沢472,赤見町3915,赤見町(駒場),095-004,36.35326974,139.5279584
弁天西386,赤見町4007-2,赤見町(駒場),095-005,36.35853748,139.5310517
弁天西385,赤見町4007-2,赤見町(駒場),095-006,36.35839752,139.530627
弁天西327,赤見町4018,赤見町(駒場),095-007,36.35806616,139.5299657
弁天西038,赤見町4178,赤見町(駒場),095-008,36.35611018,139.5244903
市の沢479,赤見町4203,赤見町(駒場),095-009,36.35449588,139.5254887
弁天西106,赤見町4621,赤見町（駒場）,095-010,36.35199319,139.5161297
市の沢477,赤見町4203,赤見町(駒場),095-011,36.35416288,139.5263728
弁天西048,赤見町4311,赤見町(駒場),095-012,36.35493654,139.5201241
弁天西150,赤見町4343,赤見町(駒場),095-013,36.35322286,139.5190568
弁天西019,赤見町4343,赤見町(駒場),095-014,36.35284233,139.5186733
弁天西105,赤見町4352,赤見町(駒場),095-015,36.35257284,139.5166896
弁天西019,赤見町4580,赤見町(駒場),095-016,36.35217963,139.5188785
弁天西021,赤見町4582,赤見町(駒場),095-017,36.35219737,139.5177811
弁天西104,赤見町4590,赤見町(駒場),095-018,36.35216901,139.5167362
弁天西152,赤見町4595-1,赤見町(駒場),095-019,36.35293226,139.5167212
弁天西022,赤見町4598,赤見町(駒場),095-020,36.35281454,139.5178761
弁天西047,赤見町4599-2,赤見町(駒場),095-021,36.35701928,139.5282783
弁天西023,赤見町4599-2,赤見町(駒場),095-022,36.35309477,139.5181246
弁天西129,赤見町4621,赤見町(駒場),095-023,36.35199181,139.5156088
弁天西116,赤見町4741,赤見町(駒場),095-024,36.35459039,139.5156624
弁天西119,赤見町4776,赤見町(駒場),095-025,36.35486008,139.5155374
弁天西142,赤見町4776,赤見町(駒場),095-026,36.35564607,139.5152313
弁天西161,赤見町4784,赤見町(駒場),095-027,36.35596024,139.5176408
弁天西148,赤見町4784,赤見町(駒場),095-028,36.35606268,139.5156912
弁天西308,赤見町4790,赤見町(駒場),095-029,36.3564794,139.5172433
弁天西305,赤見町482,赤見町(駒場),095-030,36.35706016,139.5190156
弁天西306,赤見町482,赤見町(駒場),095-031,36.35713486,139.5186992
弁天西307,赤見町4821,赤見町(駒場),095-032,36.35659184,139.5182182
弁天西301,赤見町4843,赤見町(駒場),095-033,36.35613337,139.520107
弁天西033,赤見町4890,赤見町(駒場),095-034,36.35589757,139.5213677
弁天西031,赤見町4892,赤見町(駒場),095-035,36.35561678,139.5204545
弁天西321,赤見町4896,赤見町(駒場),095-036,36.35657004,139.5211416
弁天西102,赤見町4901,赤見町(駒場),095-037,36.35219208,139.5172098
弁天西374,赤見町4902-2,赤見町(駒場),095-038,36.35720798,139.5204619
弁天西381,赤見町4957,赤見町（駒場）,095-039,36.35887435,139.5180009
弁天西372,赤見町4904,赤見町(駒場),095-040,36.35684773,139.5198369
弁天西375A,赤見町4905,赤見町(駒場),095-041,36.35723742,139.5195556
弁天西377,赤見町4907,赤見町(駒場),095-042,36.35776923,139.5192003
弁天西332,赤見町4957,赤見町(駒場),095-043,36.35979119,139.5179946
弁天西329,赤見町4957,赤見町(駒場),095-044,36.35961984,139.5192167
弁天西314,赤見町5006,赤見町(駒場),095-045,36.35915804,139.5200091
弁天西216,赤見町5019,赤見町(駒場),095-047,36.35631426,139.5225581
弁天西351,赤見町5054,赤見町(駒場),095-048,36.35836537,139.5222156
弁天西219,赤見町5076,赤見町(駒場),095-049,36.3568561,139.5232502
弁天西210,赤見町5092,赤見町(駒場),095-050,36.35555798,139.5234855
弁天西202,赤見町5093,赤見町(駒場),095-051,36.35690778,139.5236829
弁天西042,赤見町5107,赤見町(駒場),095-052,36.35657011,139.5262114
市の沢481,赤見町9000,赤見町(駒場),095-053,36.35463533,139.5245915
弁天西325,赤見町9000,赤見町(駒場),095-054,36.35754532,139.5291871
弁天西379,赤見町4905,赤見町（駒場）,095-056,36.35820165,139.518377
下石塚483,小見町918,石塚町(下),096-001,36.35458968,139.5645094
下石塚428,小見町918,石塚町(下),096-002,36.35432945,139.5643353
上石302,石塚町1028-1,石塚町(下),096-003,36.35409524,139.5573909
上石244,石塚町1080-10,石塚町(下),096-004,36.35641076,139.5556324
上石252,石塚町1080-17,石塚町(下),096-005,36.35679513,139.5557827
上石033,石塚町1195-2,石塚町(下),096-006,36.35463378,139.5567051
下石塚525,石塚町1229-1,石塚町(下),096-007,36.35547589,139.5582908
上石029,石塚町1287-3,石塚町(下),096-008,36.35610665,139.5565948
上石671A,石塚町1296-4,石塚町(下),096-009,36.35700096,139.5566647
下石塚508,石塚町1408-2,石塚町(下),096-010,36.35473851,139.5601946
下石塚045,石塚町1431,石塚町(下),096-011,36.3538306,139.562738
下石塚044,石塚町1485-2,石塚町(下),096-012,36.35335565,139.5628282
下石塚435,石塚町1493,石塚町(下),096-013,36.35317622,139.5638681
上石691A,石塚町2617,石塚町(下),096-014,36.35040564,139.5571238
下石塚425,石塚町1498-10,石塚町(下),096-015,36.35363035,139.5640229
下石塚053,石塚町1502-2,石塚町(下),096-016,36.35297791,139.5629779
下石塚361,石塚町2601,石塚町(下),096-017,36.34993322,139.5572522
上石314,石塚町2610-5,石塚町(下),096-018,36.35086644,139.5577773
上石311,石塚町2611,石塚町(下),096-019,36.35065755,139.5574786
上石409,石塚町2642,石塚町(下),096-020,36.3500143,139.5566111
上石048,石塚町2619,石塚町(下),096-021,36.35105192,139.5569578
下石塚721,石塚町2626,石塚町(下),096-022,36.34992905,139.5569675
上石405,石塚町2636,石塚町(下),096-023,36.35077807,139.5565514
上石414,石塚町2654,石塚町(下),096-024,36.35052752,139.5561611
下石塚723,石塚町2643,石塚町(下),096-025,36.34990258,139.5560437
下石塚430,石塚町743,石塚町(下),096-026,36.35164749,139.5635496
上石411,石塚町2658,石塚町(下),096-027,36.35078638,139.5558604
上石415,石塚町2662,石塚町(下),096-028,36.35132657,139.5557672
上石418,石塚町2667,石塚町(下),096-029,36.35207626,139.5557378
上石418,石塚町2668,石塚町(下),096-030,36.35218874,139.5560488
上石417,石塚町2671,石塚町(下),096-031,36.35186903,139.5560747
上石410,石塚町2676,石塚町(下),096-032,36.351123,139.5561302
上石402,石塚町2677,石塚町(下),096-033,36.35110411,139.5563772
上石418,石塚町2684,石塚町(下),096-034,36.35225567,139.5561875
上石423,石塚町2685,石塚町(下),096-035,36.35215624,139.556451
上石403,石塚町2692,石塚町(下),096-036,36.35125883,139.5565227
上石039,石塚町2702,石塚町(下),096-037,36.35218819,139.5568585
上石309,石塚町2717,石塚町(下),096-038,36.35128299,139.5574213
上石307,石塚町2718,石塚町(下),096-039,36.35192794,139.5573809
上石327,石塚町2734-1,石塚町(下),096-040,36.35172799,139.5579101
上石327,石塚町2735-1,石塚町(下),096-041,36.35131494,139.557751
上石324,石塚町2738,石塚町(下),096-042,36.35219817,139.5578634
上石304,石塚町2740,石塚町(下),096-043,36.35236656,139.557447
上石316,石塚町2742,石塚町(下),096-044,36.35269285,139.5575398
上石424,石塚町2761,石塚町(下),096-045,36.35361388,139.5567338
上石426,石塚町2762-1,石塚町(下),096-046,36.35370692,139.5563552
上石322,石塚町2779,石塚町(下),096-047,36.35344807,139.5574048
下石塚019,石塚町362,石塚町(下),096-048,36.34376975,139.5597328
下石塚017,石塚町362,石塚町(下),096-049,36.34329562,139.5593536
下石塚021,石塚町381,石塚町(下),096-050,36.34430466,139.5598971
下石塚207,石塚町382,石塚町(下),096-051,36.34492548,139.5609337
下石塚023,石塚町385,石塚町(下),096-052,36.34517795,139.5600338
下石塚024,石塚町386,石塚町(下),096-053,36.34548707,139.5601477
下石塚026,石塚町388,石塚町(下),096-054,36.34617141,139.5604259
下石塚219,石塚町415,石塚町(下),096-055,36.34651395,139.5619958
下石塚261,石塚町426,石塚町(下),096-056,36.34563652,139.5645256
下石塚225,石塚町434,石塚町(下),096-057,36.34688803,139.5634095
下石塚223,石塚町453,石塚町(下),096-058,36.34693274,139.5629345
下石塚222,石塚町436,石塚町(下),096-059,36.34658559,139.5627849
下石塚029,石塚町468-1,石塚町(下),096-060,36.34722516,139.5609358
下石塚217,石塚町475,石塚町(下),096-061,36.34676022,139.5610626
下石塚120,石塚町485-2,石塚町(下),096-062,36.34596427,139.5598201
下石塚119,石塚町490,石塚町(下),096-063,36.34540375,139.5594586
小中853,石塚町510-14,石塚町(下),096-064,36.34452242,139.5579378
下石塚127,石塚町529,石塚町(下),096-065,36.34598893,139.5590985
下石塚728,石塚町535,石塚町(下),096-066,36.34545868,139.5578715
下石塚310,石塚町555,石塚町(下),096-067,36.34765344,139.5591588
下石塚314,石塚町557,石塚町(下),096-068,36.34818038,139.558166
下石塚715,石塚町568,石塚町(下),096-069,36.34823508,139.5573427
下石塚317,石塚町581-3,石塚町(下),096-070,36.34749877,139.5584885
下石塚350,石塚町588-1,石塚町(下),096-071,36.34879912,139.5579388
下石塚351,石塚町588-2,石塚町(下),096-072,36.34884749,139.5574952
下石塚316,石塚町593,石塚町(下),096-073,36.34918356,139.5584701
下石塚312,石塚町595,石塚町(下),096-074,36.34872109,139.5584549
下石塚311,石塚町606,石塚町(下),096-075,36.34855972,139.5589851
下石塚320,石塚町610,石塚町(下),096-076,36.34976853,139.5595511
下石塚338,石塚町611-2,石塚町(下),096-077,36.34880747,139.5593773
下石塚307,石塚町617,石塚町(下),096-078,36.34835867,139.5597837
下石塚306,石塚町622-3,石塚町(下),096-079,36.34854752,139.5599948
下石塚376,石塚町644,石塚町(下),096-080,36.34786703,139.5600196
下石塚124,石塚町647,石塚町(下),096-081,36.34713519,139.5603301
下石塚030,石塚町651,石塚町(下),096-084,36.34771407,139.5608037
下石塚302,石塚町656,石塚町(下),096-085,36.34865282,139.560956
下石塚304,石塚町656,石塚町(下),096-086,36.34839621,139.56075
下石塚032,石塚町657,石塚町(下),096-087,36.34830454,139.5619724
下石塚410,石塚町712,石塚町(下),096-088,36.34970661,139.5644707
下石塚068,石塚町716,石塚町(下),096-089,36.34968909,139.5631348
下石塚407,石塚町716,石塚町(下),096-090,36.3497933,139.5634656
下石塚412,石塚町717-1,石塚町(下),096-091,36.35015321,139.5634822
下石塚415,石塚町722,石塚町(下),096-092,36.3507118,139.5634719
下石塚422,石塚町722,石塚町(下),096-093,36.35069902,139.563082
下石塚413,石塚町722-1,石塚町(下),096-094,36.35056348,139.563488
下石塚420,石塚町726,石塚町(下),096-095,36.35124838,139.5634558
下石塚421,石塚町738,石塚町(下),096-096,36.35122419,139.5639993
下石塚041,石塚町758-5,石塚町(下),096-098,36.35187641,139.5629908
下石塚039,石塚町768,石塚町(下),096-099,36.35108421,139.5627572
下石塚040,石塚町769,石塚町(下),096-100,36.35149558,139.5628106
下石塚358,石塚町802,石塚町(下),096-101,36.34968494,139.5613857
下石塚357,石塚町784-3,石塚町(下),096-102,36.34992912,139.5616743
下石塚035,石塚町788,石塚町(下),096-103,36.34921226,139.5626717
下石塚301,石塚町792,石塚町(下),096-104,36.34844262,139.5614986
下石塚303,石塚町796-2,石塚町(下),096-105,36.34902837,139.5613099
下石塚030,石塚町651,石塚町(下),096-106,36.34749824,139.5611683
小中829,石塚町829,石塚町(下),096-107,36.34407411,139.558164
下石塚322,石塚町854,石塚町(下),096-108,36.34992494,139.5607107
