city,cluster,u,v,freq
sano,386,6029.0,6030.0,1.0
sano,387,4564.0,4565.0,1.0
sano,390,1608.0,1630.0,1.0
sano,391,82.0,83.0,1.0
sano,391,4538.0,82.0,1.0
sano,392,4842.0,4845.0,1.0
sano,392,4839.0,4845.0,1.0
sano,396,4351.0,4353.0,1.0
sano,400,216.0,5690.0,1.0
sano,400,216.0,4532.0,1.0
sano,401,1461.0,3596.0,1.0
sano,401,1461.0,4637.0,1.0
sano,403,5008.0,5013.0,1.0
sano,405,4678.0,6161.0,1.0
sano,406,1704.0,3609.0,1.0
sano,406,3608.0,3609.0,1.0
sano,408,3946.0,3947.0,1.0
sano,408,3947.0,5192.0,1.0
sano,410,4674.0,6160.0,1.0
sano,410,6160.0,6161.0,1.0
sano,410,1454.0,6248.0,1.0
sano,410,4678.0,6248.0,1.0
sano,410,4678.0,6161.0,1.0
sano,412,1544.0,1550.0,1.0
sano,412,1526.0,1550.0,1.0
sano,412,1537.0,1544.0,1.0
sano,414,5217.0,5229.0,1.0
sano,416,4555.0,4556.0,1.0
sano,416,1774.0,4556.0,1.0
sano,417,5066.0,87.0,1.0
sano,418,6220.0,6221.0,1.0
sano,418,6221.0,6223.0,1.0
sano,418,6221.0,6222.0,1.0
sano,418,4659.0,6224.0,1.0
sano,418,4659.0,6222.0,1.0
sano,419,4998.0,5003.0,1.0
sano,420,4833.0,4844.0,1.0
sano,422,5204.0,5684.0,1.0
sano,422,5684.0,6032.0,1.0
sano,422,5228.0,6032.0,1.0
sano,422,5211.0,5228.0,1.0
sano,422,5211.0,6031.0,1.0
sano,428,5230.0,878.0,1.0
sano,428,878.0,882.0,0.8333333333333334
sano,428,881.0,882.0,0.16666666666666666
sano,428,5230.0,881.0,0.16666666666666666
sano,429,4872.0,4876.0,1.0
sano,429,4868.0,4872.0,1.0
sano,430,5022.0,5025.0,1.0
sano,430,5025.0,5035.0,1.0
sano,430,5035.0,6152.0,1.0
sano,430,5031.0,6152.0,1.0
sano,430,5031.0,6153.0,1.0
sano,431,6146.0,6147.0,1.0
sano,432,375.0,4354.0,1.0
sano,433,4813.0,4816.0,1.0
sano,435,5224.0,6027.0,1.0
sano,435,1450.0,5224.0,1.0
sano,438,4994.0,5001.0,1.0
