city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,s1_famA_npc,s1_famB_npc,tld
yasu,39,2,37.336928479865094,22.402157087919058,12,12,13576260.06262437,13576260.06262437,6578101.721852739,40.60556618427618,0.002180329176074355,0.03112047168915495,13576260.06262437,0.03112047168915495,12,0.002180329176074355,13576260.062624373,0.0021803291760743556,13576260.062624373,0,6578101.721852739,0.0021803291760743556,40.60556618427617,0.03112047168915495,0.0,True,0.0,13576260.06262437,13576260.06262437,0.0
yasu,40,4,187.79871326185338,112.679227957112,12,12,66669083.82525575,66669083.82525575,44583522.363241106,275.206928168155,1.080270682680826,1.409623350614568,66669083.82525575,1.409623350614568,12,1.080270682680826,62603582.10197483,1.0050121060441939,62603582.10197483,0,41663718.74163925,1.0050121060441939,257.1834490224645,1.1192807226144634,0.0,True,4065501.7232809165,62603582.10197484,70734585.54853667,0.0
yasu,41,2,197.4841920438219,118.49051522629314,12,12,12919704.58447955,12919704.58447955,5984151.27520693,36.93920540251191,0.08307810046286533,0.18322275375568614,12919704.58447955,0.18322275375568614,12,0.08307810046286533,12919704.584479552,0.08307810046286532,12919704.584479552,0,5984151.275206929,0.08307810046286532,36.93920540251191,0.18322275375568614,0.0,True,0.0,12919704.584479554,12919704.584479554,0.0
yasu,42,2,57.22237014535802,34.33342208721481,12,12,19907078.085728314,19907078.085728314,11278918.944418313,69.62295644702661,0.0022514610242673973,0.04140957751892213,19907078.085728314,0.04140957751892213,12,0.0022514610242673973,19907078.08572831,0.0022514610242673973,19907078.08572831,0,11278918.944418313,0.0022514610242673973,69.62295644702662,0.04140957751892213,0.0,True,0.0,19907078.085728314,19907078.085728314,0.0
yasu,43,4,158.3427884637567,95.00567307825402,12,12,73999072.52857101,73999072.52857101,50892448.08533809,314.15091410702536,0.42195009183898163,1.126779515036953,73999072.52857101,1.126779515036953,12,0.42195009183898163,73999072.52857101,0.4219500918389817,73999072.52857101,0,50892448.08533809,0.4219500918389817,314.1509141070253,1.126779515036953,0.0,True,0.0,73999072.52857101,73999072.52857101,0.0
yasu,45,3,73.80553474016682,44.28332084410009,12,12,17783257.899653018,17783257.899653018,9680101.14613179,59.753710778591305,0.018812651896865675,0.09774680102829422,17783257.899653018,0.09774680102829422,12,0.018812651896865675,17783257.899653018,0.018812651896865675,17783257.899653018,0,9680101.146131791,0.018812651896865675,59.753710778591305,0.09774680102829422,0.0,True,0.0,17783257.899653018,17783257.899653018,0.0
yasu,46,3,117.43277246200942,70.45966347720565,12,12,71973596.70104086,71973596.70104086,49824919.12735363,307.56122918119524,0.09018068414812909,0.5418407591298022,71973596.70104086,0.5418407591298022,12,0.09018068414812909,71973596.70104086,0.0901806841481291,71973596.70104086,0,49824919.12735362,0.0901806841481291,307.5612291811952,0.5418407591298022,0.0,True,0.0,71973596.70104086,71973596.70104086,0.0
yasu,47,4,89.86650844903933,53.91990506942359,12,12,35127917.916122556,35127917.916122556,22482453.1304569,138.78057487936354,0.07720491304025391,0.3300244929309824,35127917.916122556,0.3300244929309824,12,0.07720491304025391,35127917.916122556,0.07720491304025393,35127917.916122556,0,22482453.1304569,0.07720491304025393,138.78057487936357,0.3300244929309824,0.0,True,0.0,35127917.916122556,35127917.916122556,0.0
yasu,48,3,197.40225817122385,118.4413549027343,12,12,15849073.27076339,15849073.27076339,8108744.0477340175,50.0539756032964,0.12153378357024595,0.2573017524598899,15849073.27076339,0.2573017524598899,12,0.12153378357024595,15849073.270763386,0.12153378357024597,15849073.270763386,0,8108744.047734015,0.12153378357024597,50.053975603296394,0.2573017524598899,0.0,True,0.0,15849073.270763384,15849073.270763384,0.0
yasu,49,1,21.282475638027904,12.769485382816741,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
